Ensembl.Gene.ID;GFP1;GFP2;GFP3;S1;S2;S3
ENSMUSG00000030279;392;441;463;235;197;196
ENSMUSG00000030287;621;740;806;387;313;308
ENSMUSG00000030309;100;92;103;44;59;43
ENSMUSG00000030522;438;505;498;227;188;198
ENSMUSG00000030785;26;13;14;4;4;3
ENSMUSG00000030905;6;9;12;0;0;0
ENSMUSG00000031066;105;139;125;48;23;34
ENSMUSG00000031098;64;82;85;19;22;16
ENSMUSG00000031239;48;72;37;14;10;16
ENSMUSG00000031337;184;225;218;120;91;98
ENSMUSG00000031451;22;31;26;6;4;9
ENSMUSG00000031543;9;22;26;3;3;1
ENSMUSG00000031618;30;49;58;5;4;1
ENSMUSG00000031626;69;101;97;31;37;35
ENSMUSG00000031762;672;747;694;185;174;163
ENSMUSG00000031841;663;783;1016;436;351;406
ENSMUSG00000031877;112;120;142;45;38;45
ENSMUSG00000031934;158;172;183;72;54;63
ENSMUSG00000032006;17;15;18;4;4;1
ENSMUSG00000032020;17;22;21;5;1;7
ENSMUSG00000032024;53;69;85;27;24;31
ENSMUSG00000032118;126;147;132;44;45;37
ENSMUSG00000032175;634;684;690;311;245;264
ENSMUSG00000032186;45;61;63;12;9;7
ENSMUSG00000032238;206;245;305;130;107;138
ENSMUSG00000032401;60;71;65;38;29;29
ENSMUSG00000032549;257;258;237;51;48;47
ENSMUSG00000032557;749;837;787;422;364;369
ENSMUSG00000032769;6;14;17;1;1;1
ENSMUSG00000032878;70;71;74;18;19;14
ENSMUSG00000032925;83;104;128;16;19;21
ENSMUSG00000033060;167;176;210;63;74;56
ENSMUSG00000033308;10;10;11;0;0;0
ENSMUSG00000034110;57;49;48;18;9;13
ENSMUSG00000034413;173;220;216;105;97;87
ENSMUSG00000034610;1101;1195;1181;622;500;522
ENSMUSG00000034614;169;167;140;80;68;70
ENSMUSG00000034636;1455;1668;1587;626;601;476
ENSMUSG00000034762;49;55;68;32;21;25
ENSMUSG00000034780;184;229;251;49;43;41
ENSMUSG00000034926;1297;1428;1282;660;550;636
ENSMUSG00000035069;209;215;257;99;75;73
ENSMUSG00000035126;169;164;188;49;31;49
ENSMUSG00000035184;40;26;37;10;11;11
ENSMUSG00000035212;409;425;398;199;170;182
ENSMUSG00000035275;45;59;55;7;5;6
ENSMUSG00000035299;380;460;540;125;92;101
ENSMUSG00000035305;42;56;66;4;3;2
ENSMUSG00000035868;39;36;41;20;18;15
ENSMUSG00000036019;102;122;151;10;9;11
ENSMUSG00000036223;95;107;88;56;38;42
ENSMUSG00000036377;89;123;115;43;46;35
ENSMUSG00000036611;16;16;21;6;3;2
ENSMUSG00000036834;26;31;53;18;14;15
ENSMUSG00000037031;407;397;399;194;156;216
ENSMUSG00000037086;20;21;15;3;2;1
ENSMUSG00000037362;97;109;109;42;40;37
ENSMUSG00000037379;23;12;16;1;1;1
ENSMUSG00000037902;23;31;14;4;1;3
ENSMUSG00000037973;7;9;8;1;0;0
ENSMUSG00000038024;1258;1490;1411;719;572;617
ENSMUSG00000038047;1102;1279;1213;626;547;513
ENSMUSG00000038235;108;113;112;31;29;35
ENSMUSG00000038422;95;118;110;52;53;52
ENSMUSG00000038451;81;94;119;52;41;49
ENSMUSG00000038544;421;433;394;218;179;199
ENSMUSG00000038618;58;53;38;15;17;13
ENSMUSG00000038742;225;241;243;34;21;39
ENSMUSG00000038764;349;406;476;120;111;117
ENSMUSG00000038827;710;738;675;299;284;237
ENSMUSG00000039004;86;102;108;17;15;6
ENSMUSG00000039005;862;987;947;440;390;356
ENSMUSG00000039105;1153;1197;1110;604;578;532
ENSMUSG00000039158;160;213;217;65;79;75
ENSMUSG00000039239;611;751;732;193;165;155
ENSMUSG00000039270;320;349;383;150;124;143
ENSMUSG00000039298;1309;1520;1578;696;548;539
ENSMUSG00000039347;33;49;43;17;17;16
ENSMUSG00000039611;15;15;9;0;0;0
ENSMUSG00000039616;40;41;34;17;13;11
ENSMUSG00000039742;21;19;23;9;3;5
ENSMUSG00000039745;106;104;97;16;22;15
ENSMUSG00000040003;414;437;741;149;126;124
ENSMUSG00000040009;48;39;49;22;24;18
ENSMUSG00000040037;17;30;32;0;0;0
ENSMUSG00000040181;7;8;6;0;0;0
ENSMUSG00000040289;24;27;17;1;4;2
ENSMUSG00000040329;61;39;46;24;24;25
ENSMUSG00000040428;33;32;44;15;16;15
ENSMUSG00000040717;41;47;51;18;17;22
ENSMUSG00000040721;81;102;89;56;46;33
ENSMUSG00000040732;5;4;7;0;0;0
ENSMUSG00000041144;148;158;208;69;50;53
ENSMUSG00000041417;1832;2102;2025;1084;955;909
ENSMUSG00000041439;201;238;230;70;67;60
ENSMUSG00000041552;29;27;26;12;7;13
ENSMUSG00000041559;22;24;22;8;6;8
ENSMUSG00000041577;1131;1366;1345;154;168;167
ENSMUSG00000041624;59;62;82;13;14;7
ENSMUSG00000041757;323;325;377;7;3;3
ENSMUSG00000041842;80;78;63;23;23;27
ENSMUSG00000041912;30;25;30;6;6;8
ENSMUSG00000042115;416;431;378;152;139;124
ENSMUSG00000042195;7;18;11;0;0;0
ENSMUSG00000042258;13;10;12;0;0;0
ENSMUSG00000042284;20;28;11;3;6;5
ENSMUSG00000042359;109;119;117;28;25;26
ENSMUSG00000042613;322;373;443;198;185;161
ENSMUSG00000042686;93;104;141;64;42;49
ENSMUSG00000042751;61;59;57;26;29;30
ENSMUSG00000043556;14;18;22;1;0;2
ENSMUSG00000043753;43;34;31;8;10;8
ENSMUSG00000043822;139;181;163;24;15;11
ENSMUSG00000043895;435;437;440;226;206;205
ENSMUSG00000044068;76;74;53;30;25;24
ENSMUSG00000044197;142;149;160;63;57;65
ENSMUSG00000044365;19;20;20;5;1;2
ENSMUSG00000044734;35;49;35;8;11;8
ENSMUSG00000045007;20;22;18;5;3;2
ENSMUSG00000045071;323;371;392;186;134;150
ENSMUSG00000045103;79;81;121;45;35;51
ENSMUSG00000045136;89;108;115;19;27;17
ENSMUSG00000045319;37;43;37;16;14;16
ENSMUSG00000045658;126;148;220;53;37;37
ENSMUSG00000045679;225;237;255;115;99;94
ENSMUSG00000046178;45;44;88;0;0;0
ENSMUSG00000046442;104;130;143;19;15;18
ENSMUSG00000046447;33;37;28;13;12;15
ENSMUSG00000046449;33;54;41;0;1;3
ENSMUSG00000046711;2445;2721;2467;1135;1135;1116
ENSMUSG00000046727;84;94;69;30;14;16
ENSMUSG00000047161;17;25;29;0;0;0
ENSMUSG00000047238;14;8;13;0;0;3
ENSMUSG00000047557;246;251;203;124;93;100
ENSMUSG00000047787;19;22;16;1;4;2
ENSMUSG00000048078;775;987;1119;368;321;306
ENSMUSG00000048216;20;36;30;4;9;5
ENSMUSG00000048351;205;214;209;86;85;103
ENSMUSG00000048388;144;189;147;39;68;53
ENSMUSG00000048416;36;37;23;10;5;7
ENSMUSG00000048706;1432;1478;1662;551;483;513
ENSMUSG00000049100;80;76;90;1;0;0
ENSMUSG00000049420;11;15;10;3;2;0
ENSMUSG00000049511;33;48;44;6;3;2
ENSMUSG00000049556;21;21;14;3;4;5
ENSMUSG00000049791;87;91;102;42;44;47
ENSMUSG00000049858;56;67;51;19;20;16
ENSMUSG00000050052;8;5;8;0;0;0
ENSMUSG00000050212;56;74;55;2;2;1
ENSMUSG00000050549;15;21;18;8;3;3
ENSMUSG00000050777;25;38;25;9;11;7
ENSMUSG00000050812;4210;4712;4670;2222;1834;1866
ENSMUSG00000051022;6;6;10;0;0;1
ENSMUSG00000051379;17;19;21;5;5;5
ENSMUSG00000051675;639;763;652;344;282;314
ENSMUSG00000051951;16;29;33;1;4;0
ENSMUSG00000051977;37;45;56;7;6;3
ENSMUSG00000052372;79;92;161;23;14;27
ENSMUSG00000052407;186;187;246;96;75;82
ENSMUSG00000052479;48;48;71;3;0;0
ENSMUSG00000052504;36;57;66;34;26;12
ENSMUSG00000052726;392;421;567;249;166;234
ENSMUSG00000052914;352;415;456;183;130;146
ENSMUSG00000053414;7;8;9;0;0;1
ENSMUSG00000053965;14;11;17;1;1;0
ENSMUSG00000054000;84;87;70;34;35;25
ENSMUSG00000054409;85;91;83;39;40;40
ENSMUSG00000054474;12;15;9;3;1;2
ENSMUSG00000054640;16;23;40;0;0;0
ENSMUSG00000054752;190;201;214;80;70;59
ENSMUSG00000055296;1528;1845;1891;955;776;800
ENSMUSG00000055407;501;570;625;260;259;252
ENSMUSG00000055421;51;63;56;10;13;14
ENSMUSG00000055435;62;100;93;35;36;37
ENSMUSG00000055725;370;396;347;154;134;136
ENSMUSG00000055850;91;90;118;51;47;40
ENSMUSG00000056004;30;49;54;14;4;6
ENSMUSG00000056486;13;21;27;6;3;4
ENSMUSG00000056673;999;1088;1157;2;2;2
