Ensembl.Gene.ID;GFP1;GFP2;GFP3;S1;S2;S3
ENSMUSG00000059878;9;15;9;76;75;96
ENSMUSG00000059901;104;124;113;371;307;353
ENSMUSG00000060227;141;144;146;243;228;211
ENSMUSG00000060314;1;0;0;22;17;13
ENSMUSG00000060336;27;36;30;81;80;64
ENSMUSG00000060548;82;83;87;137;121;137
ENSMUSG00000061013;73;66;93;158;99;129
ENSMUSG00000061232;165;165;153;373;322;343
ENSMUSG00000061353;201;237;231;619;550;514
ENSMUSG00000061751;1147;1308;1654;2610;1925;2114
ENSMUSG00000061878;67;57;51;153;153;160
ENSMUSG00000062110;139;147;186;289;231;232
ENSMUSG00000062175;124;122;139;206;214;216
ENSMUSG00000062184;194;214;273;382;343;370
ENSMUSG00000062421;132;176;158;320;317;322
ENSMUSG00000062519;126;143;135;219;185;205
ENSMUSG00000062751;0;0;0;96;123;101
ENSMUSG00000062866;99;95;85;212;146;141
ENSMUSG00000063018;53;54;56;93;98;90
ENSMUSG00000063146;231;255;263;433;406;402
ENSMUSG00000063193;33;33;34;145;112;122
ENSMUSG00000063296;23;16;29;98;81;94
ENSMUSG00000063415;15;25;21;52;36;51
ENSMUSG00000063458;4;16;11;251;199;188
ENSMUSG00000063531;0;2;0;17;16;12
ENSMUSG00000063605;106;145;147;228;221;193
ENSMUSG00000063632;211;207;194;376;315;355
ENSMUSG00000064043;3;4;3;21;17;18
ENSMUSG00000065954;307;322;323;571;497;490
ENSMUSG00000066894;36;38;29;91;64;75
ENSMUSG00000067276;26;24;25;115;99;92
ENSMUSG00000067780;115;122;156;255;231;273
ENSMUSG00000067825;74;61;49;117;101;90
ENSMUSG00000068114;74;71;81;146;113;116
ENSMUSG00000068551;2;0;1;36;24;19
ENSMUSG00000069601;585;646;748;1499;1242;1232
ENSMUSG00000070407;9;17;11;73;71;70
ENSMUSG00000070524;4;6;7;17;22;20
ENSMUSG00000070526;37;45;38;66;70;69
ENSMUSG00000070576;285;302;283;807;712;709
ENSMUSG00000070695;2;4;0;20;11;16
ENSMUSG00000070720;0;0;0;7;7;5
ENSMUSG00000070942;0;1;0;15;5;7
ENSMUSG00000071757;324;397;354;631;530;539
ENSMUSG00000073077;77;79;83;160;111;112
ENSMUSG00000073599;0;1;0;39;21;33
ENSMUSG00000074259;29;33;31;90;67;73
ENSMUSG00000074604;9;9;8;33;33;22
ENSMUSG00000074934;102;75;85;711;590;636
ENSMUSG00000075012;79;86;97;138;132;159
ENSMUSG00000075014;27;38;60;419;481;393
ENSMUSG00000075015;2;3;14;46;48;33
ENSMUSG00000076435;44;47;33;104;109;100
ENSMUSG00000076441;307;306;299;477;521;471
ENSMUSG00000078190;57;63;60;235;152;190
ENSMUSG00000078247;11;10;18;196;127;169
ENSMUSG00000078302;3;1;3;34;28;42
ENSMUSG00000078502;18;25;16;77;59;73
ENSMUSG00000079502;8;4;7;44;44;42
ENSMUSG00000079658;418;484;474;763;719;698
ENSMUSG00000080717;123;135;173;274;252;223
ENSMUSG00000083307;0;0;0;23;17;24
ENSMUSG00000084111;1004;1038;916;2517;2304;2182
ENSMUSG00000084885;0;1;0;12;9;12
ENSMUSG00000084965;0;1;0;32;29;23
ENSMUSG00000085201;63;69;83;131;123;116
ENSMUSG00000085596;12;14;24;71;45;49
ENSMUSG00000085795;291;323;299;535;415;454
ENSMUSG00000087006;12;7;5;86;94;100
ENSMUSG00000087230;1;0;5;23;19;18
ENSMUSG00000087259;62;60;63;152;115;131
ENSMUSG00000087292;3;5;3;21;23;17
ENSMUSG00000087543;80;72;93;118;116;132
ENSMUSG00000090066;14;6;9;52;27;35
ENSMUSG00000090086;49;58;67;133;88;88
ENSMUSG00000090799;30;37;36;80;53;67
ENSMUSG00000090958;86;85;96;322;320;320
ENSMUSG00000091028;1;3;3;13;14;16
ENSMUSG00000094377;79;87;112;118;166;141
ENSMUSG00000095280;3;5;10;47;55;47
ENSMUSG00000095742;5;7;5;74;97;87
ENSMUSG00000096210;436;485;448;1208;1147;1143
ENSMUSG00000096243;128;115;142;193;206;230
ENSMUSG00000096385;0;0;2;13;9;15
ENSMUSG00000096965;56;54;69;109;92;88
ENSMUSG00000097180;61;57;76;142;111;86
ENSMUSG00000097183;54;59;53;112;96;107
ENSMUSG00000097287;19;28;14;52;39;40
ENSMUSG00000097415;807;972;824;1474;1316;1231
ENSMUSG00000097651;235;267;322;527;440;381
ENSMUSG00000097709;34;40;32;106;74;81
ENSMUSG00000097789;389;443;368;795;727;691
ENSMUSG00000100779;22;16;15;45;32;53
ENSMUSG00000100782;3;1;5;19;11;14
ENSMUSG00000102590;108;105;137;268;256;263
ENSMUSG00000102676;0;1;0;9;9;7
ENSMUSG00000109321;33;53;59;103;70;70
ENSMUSG00000111059;0;0;0;7;8;3
ENSMUSG00000112742;40;47;55;96;73;76
ENSMUSG00000116165;32;37;39;79;76;65
ENSMUSG00000116673;111;153;155;300;280;237
ENSMUSG00000117183;42;35;41;82;69;78
